n,duration,mflops,result
30000,0.411022,1459775.875744,899970000.000000
30100,0.414565,1452124.516059,905979900.000000
30200,0.416762,1449268.407388,912009800.000000
30300,0.416214,1455981.778604,918059700.000000
30400,0.418990,1451108.618344,924129600.000000
30500,0.422315,1444419.449937,930219500.000000
30600,0.424644,1441207.222991,936329400.000000
30700,0.427286,1436976.638598,942459300.000000
30800,0.433470,1421090.271530,948609200.000000
30900,0.432523,1428825.750307,954779100.000000
31000,0.439150,1411818.285324,960969000.000000
31100,0.438527,1418384.728876,967178900.000000
31200,0.441331,1413904.756294,973408800.000000
31300,0.449277,1393349.759725,979658700.000000
31400,0.446854,1405380.728381,985928600.000000
31500,0.449648,1401095.968402,992218500.000000
31600,0.454287,1391191.031220,998528400.000000
31700,0.461358,1374203.980423,1004858300.000000
31800,0.458153,1388182.550371,1011208200.000000
31900,0.461530,1382358.676576,1017578100.000000
32000,0.463805,1379890.255603,1023968000.000000
32100,0.467352,1373696.913675,1030377900.000000
32200,0.469973,1370291.484830,1036807800.000000
32300,0.472882,1366091.329338,1043257700.000000
32400,0.475645,1362360.584049,1049727600.000000
32500,0.478250,1359121.798223,1056217500.000000
32600,0.481526,1354028.650582,1062727400.000000
32700,0.487104,1342629.089476,1069257300.000000
32800,0.487666,1345182.973593,1075807200.000000
32900,0.490386,1341800.132956,1082377100.000000
33000,0.497502,1326627.832652,1088967000.000000
33100,0.501954,1318845.950027,1095576900.000000
33200,0.506044,1312138.865395,1102206800.000000
33300,0.506922,1313811.592316,1108856700.000000
33400,0.506596,1318604.963324,1115526600.000000
33500,0.510213,1313177.045665,1122216500.000000
33600,0.511509,1313759.875193,1128926400.000000
33700,0.514278,1310575.214184,1135656300.000000
33800,0.519264,1301842.607999,1142406200.000000
33900,0.527263,1285885.791341,1149176100.000000
34000,0.529761,1283597.697830,1155966000.000000
34100,0.531912,1282166.974988,1162775900.000000
34200,0.535485,1277346.704389,1169605800.000000
34300,0.540391,1269451.193673,1176455700.000000
34400,0.546601,1258687.781398,1183325600.000000
34500,0.552458,1248963.722129,1190215500.000000
34600,0.553530,1250158.076346,1197125400.000000
34700,0.552323,1256511.135694,1204055300.000000
34800,0.556963,1249634.176777,1211005200.000000
34900,0.557468,1252089.806052,1217975100.000000
35000,0.560076,1249830.380163,1224965000.000000
35100,0.570808,1229835.601463,1231974900.000000
35200,0.561448,1253900.628375,1239004800.000000
35300,0.565005,1249546.464191,1246054700.000000
35400,0.568128,1246198.039878,1253124600.000000
35500,0.572508,1240157.342779,1260214500.000000
35600,0.574074,1240258.224549,1267324400.000000
35700,0.577971,1235356.099181,1274454300.000000
35800,0.580315,1233812.670705,1281604200.000000
35900,0.584370,1228673.614320,1288774100.000000
36000,0.586887,1226811.975730,1295964000.000000
36100,0.592195,1219193.002305,1303173900.000000
36200,0.593699,1219473.167379,1310403800.000000
36300,0.597953,1214142.248638,1317653700.000000
36400,0.600100,1213131.144809,1324923600.000000
36500,0.603977,1208655.296477,1332213500.000000
36600,0.606763,1206401.840587,1339523400.000000
36700,0.610495,1202303.049165,1346853300.000000
36800,0.615075,1196602.040402,1354203200.000000
36900,0.623911,1182861.017036,1361573100.000000
37000,0.620029,1193492.562445,1368963000.000000
37100,0.624985,1187228.493484,1376372900.000000
37200,0.626548,1187458.901792,1383802800.000000
37300,0.630480,1183225.479000,1391252700.000000
37400,0.633600,1180555.555556,1398722600.000000
37500,0.637519,1176435.525843,1406212500.000000
37600,0.640138,1174746.695244,1413722400.000000
37700,0.644227,1170394.907385,1421252300.000000
37800,0.647195,1168117.800663,1428802200.000000
37900,0.650925,1164496.677805,1436372100.000000
38000,0.653812,1162413.660196,1443962000.000000
38100,0.660578,1153535.237322,1451571900.000000
38200,0.661410,1155108.026791,1459201800.000000
38300,0.665053,1151787.902618,1466851700.000000
38400,0.669359,1147366.360951,1474521600.000000
38500,0.672137,1145599.780997,1482211500.000000
38600,0.675070,1143585.109692,1489921400.000000
38700,0.681102,1136393.667909,1497651300.000000
38800,0.682195,1137504.672418,1505401200.000000
38900,0.685793,1134453.107570,1513171100.000000
39000,0.689329,1131535.159554,1520961000.000000
39100,0.693330,1127890.037933,1528770900.000000
39200,0.695751,1126839.918304,1536600800.000000
39300,0.700156,1122606.961877,1544450700.000000
39400,0.703456,1120183.778374,1552320600.000000
39500,0.707463,1116666.171941,1560210500.000000
39600,0.709990,1115508.669136,1568120400.000000
39700,0.716658,1107920.374851,1576050300.000000
39800,0.722750,1101349.014182,1584000200.000000
39900,0.726285,1098742.229290,1591970100.000000
40000,0.737761,1084362.008835,1599960000.000000
40100,0.742180,1080600.393436,1607969900.000000
40200,0.740795,1085320.500273,1615999800.000000
40300,0.740401,1088599.286063,1624049700.000000
40400,0.745838,1083345.176835,1632119600.000000
40500,0.747375,1083793.276468,1640209500.000000
40600,0.750735,1081606.692108,1648319400.000000
40700,0.758079,1073766.718244,1656449300.000000
40800,0.756889,1078097.316780,1664599200.000000
40900,0.759688,1076757.826897,1672769100.000000
41000,0.764604,1072450.575723,1680959000.000000
41100,0.768466,1069663.459411,1689168900.000000
41200,0.768944,1071599.492291,1697398800.000000
41300,0.772756,1068901.438488,1705648700.000000
41400,0.776428,1066422.128002,1713918600.000000
41500,0.780731,1063106.242739,1722208500.000000
41600,0.784019,1061198.771969,1730518400.000000
41700,0.788422,1057809.142819,1738848300.000000
41800,0.791764,1055870.183540,1747198200.000000
41900,0.796647,1051908.812812,1755568100.000000
42000,0.799641,1050471.399040,1763958000.000000
42100,0.805588,1045199.283008,1772367900.000000
42200,0.807351,1045394.134645,1780797800.000000
42300,0.812311,1041473.031881,1789247700.000000
42400,0.814995,1040497.180964,1797717600.000000
42500,0.820302,1036203.739598,1806207500.000000
42600,0.822604,1035735.299123,1814717400.000000
42700,0.828150,1031214.152026,1823247300.000000
42800,0.832210,1028586.534649,1831797200.000000
42900,0.835967,1026356.303538,1840367100.000000
43000,0.838329,1025850.233023,1848957000.000000
43100,0.843837,1021524.299124,1857566900.000000
43200,0.847384,1019608.583594,1866196800.000000
43300,0.851713,1016774.429884,1874846700.000000
43400,0.854368,1015955.653770,1883516600.000000
43500,0.860207,1011384.469087,1892206500.000000
43600,0.862948,1010489.623940,1900916400.000000
43700,0.867457,1007542.736989,1909646300.000000
43800,0.868642,1008470.693335,1918396200.000000
43900,0.874777,1003684.367559,1927166100.000000
44000,0.877389,1002975.875011,1935956000.000000
44100,0.881076,1001048.717704,1944765900.000000
44200,0.886569,997102.312398,1953595800.000000
44300,0.889215,996384.451454,1962445700.000000
44400,0.892840,994579.095919,1971315600.000000
44500,0.897070,992118.786717,1980205500.000000
44600,0.901089,989913.315999,1989115400.000000
44700,0.904869,987988.316541,1998045300.000000
44800,0.915280,978935.407744,2006995200.000000
44900,0.913042,983525.401898,2015965100.000000
45000,0.918711,979633.421174,2024955000.000000
45100,0.921667,978661.490538,2033964900.000000
45200,0.925085,977207.499851,2042994800.000000
45300,0.929154,975080.557152,2052044700.000000
45400,0.932938,973269.391964,2061114600.000000
45500,0.936845,971345.313259,2070204500.000000
45600,0.940911,969273.395677,2079314400.000000
45700,0.945294,966894.955432,2088444300.000000
45800,0.949955,964256.201610,2097594200.000000
45900,0.955110,961145.836605,2106764100.000000
46000,0.957806,960528.541270,2115954000.000000
46100,0.962082,958338.270542,2125163900.000000
46200,0.968681,953874.392086,2134393800.000000
46300,0.977604,947213.800271,2143643700.000000
46400,0.974918,951874.926917,2152913600.000000
46500,0.979399,949561.925221,2162203500.000000
46600,0.993228,938354.536924,2171513400.000000
46700,1.001794,932327.404636,2180843300.000000
46800,0.998997,936939.750570,2190193200.000000
46900,1.004743,933572.067683,2199563100.000000
47000,1.003308,936900.732377,2208953000.000000
47100,1.003370,938836.122268,2218362900.000000
47200,1.011483,933283.110047,2227792800.000000
47300,1.020658,926853.069295,2237242700.000000
47400,1.018589,930699.231977,2246712600.000000
47500,1.029831,922481.455695,2256202500.000000
47600,1.037120,917926.565875,2265712400.000000
47700,1.041590,915907.410785,2275242300.000000
47800,1.052754,908094.388623,2284792200.000000
47900,1.048290,913869.253737,2294362100.000000
48000,1.046941,916957.116017,2303952000.000000
48100,1.059060,908352.690121,2313561900.000000
48200,1.073656,897866.728263,2323191800.000000
48300,1.057648,913347.351860,2332841700.000000
48400,1.070513,904239.369349,2342511600.000000
48500,1.073540,903552.732083,2352201500.000000
48600,1.083716,896913.951626,2361911400.000000
48700,1.084942,897743.842528,2371641300.000000
48800,1.090430,895059.747072,2381391200.000000
48900,1.093776,894150.173344,2391161100.000000
49000,1.095683,894419.280029,2400951000.000000
49100,1.107510,886673.709492,2410760900.000000
49200,1.110666,885954.913538,2420590800.000000
49300,1.115908,883585.385175,2430440700.000000
49400,1.120101,882063.313933,2440310600.000000
49500,1.124554,880349.009474,2450200500.000000
49600,1.139671,870426.640671,2460110400.000000
49700,1.129027,880404.100168,2470040300.000000
49800,1.150034,866061.351230,2479990200.000000
49900,1.188815,839491.426336,2489960100.000000
50000,1.172520,852863.917033,2499950000.000000
50100,1.141798,877563.281771,2509959900.000000
50200,1.148555,874141.856507,2519989800.000000
50300,1.150383,874491.365050,2530039700.000000
50400,1.154237,873304.182763,2540109600.000000
50500,1.158046,872158.791620,2550199500.000000
50600,1.174408,861710.751289,2560309400.000000
50700,1.178191,860641.440989,2570439300.000000
50800,1.180668,860529.801773,2580589200.000000
50900,1.199691,848551.835431,2590759100.000000
51000,1.272640,801483.530299,2600949000.000000
51100,1.260086,811055.753337,2611158900.000000
51200,1.195762,856357.703289,2621388800.000000
51300,1.221757,839774.194050,2631638700.000000
51400,1.214251,846612.438450,2641908600.000000
51500,1.216636,846596.681341,2652198500.000000
51600,1.217147,847884.437952,2662508400.000000
51700,1.227608,842288.417801,2672838300.000000
51800,1.228183,843522.504382,2683188200.000000
51900,1.228438,844975.489198,2693558100.000000
52000,1.226358,848039.479499,2703948000.000000
52100,1.240032,840300.895461,2714357900.000000
52200,1.246117,837802.549841,2724787800.000000
52300,1.251400,835863.832508,2735237700.000000
52400,1.269329,825633.070701,2745707600.000000
52500,1.263300,831156.494894,2756197500.000000
52600,1.271335,827476.628898,2766707400.000000
52700,1.273518,827628.663278,2777237300.000000
52800,1.280860,824446.075293,2787787200.000000
52900,1.279598,826822.173839,2798357100.000000
53000,1.283163,826083.669807,2808947000.000000
53100,1.290054,823221.353525,2819556900.000000
53200,1.301272,817661.488144,2830186800.000000
53300,1.298770,820776.580919,2840836700.000000
53400,1.304222,818878.994527,2851506600.000000
53500,1.310361,816568.869189,2862196500.000000
53600,1.314581,815468.959311,2872906400.000000
53700,1.325926,809999.954749,2883636300.000000
53800,1.327850,810332.492375,2894386200.000000
53900,1.329779,810661.019613,2905156100.000000
54000,1.334973,809005.125946,2915946000.000000
54100,1.342675,805853.985514,2926755900.000000
54200,1.350572,802622.888672,2937585800.000000
54300,1.352557,802923.647580,2948435700.000000
54400,1.355279,802786.732474,2959305600.000000
54500,1.360624,801103.023319,2970195500.000000
54600,1.368475,797968.541625,2981105400.000000
54700,1.393557,785041.444304,2992035300.000000
54800,1.380183,794097.594305,3002985200.000000
54900,1.394689,787272.287944,3013955100.000000
55000,1.391174,790699.078620,3024945000.000000
55100,1.395011,789957.928647,3035954900.000000
55200,1.405863,785282.776487,3046984800.000000
55300,1.397874,791201.495986,3058034700.000000
55400,1.414808,783145.133474,3069104600.000000
55500,1.433996,774060.736571,3080194500.000000
55600,1.412942,787010.365606,3091304400.000000
55700,1.438660,774331.669748,3102434300.000000
55800,1.428941,780997.955829,3113584200.000000
55900,1.428308,782744.338056,3124754100.000000
56000,1.438853,778397.793242,3135944000.000000
56100,1.453519,771919.734107,3147153900.000000
56200,1.444066,778357.775891,3158383800.000000
56300,1.449421,776861.933144,3169633700.000000
56400,1.469367,767677.510111,3180903600.000000
56500,1.462949,772412.435430,3192193500.000000
56600,1.467630,771311.570355,3203503400.000000
56700,1.472713,770007.462418,3214833300.000000
56800,1.510136,752250.128465,3226183200.000000
56900,1.488959,764292.368024,3237553100.000000
57000,1.504576,757688.544813,3248943000.000000
57100,1.499463,761605.988277,3260352900.000000
57200,1.504849,760209.163843,3271782800.000000
57300,1.517556,755161.588765,3283232700.000000
57400,1.508320,761111.700435,3294702600.000000
57500,1.524703,754245.253010,3306192500.000000
57600,1.531607,752151.171939,3317702400.000000
57700,1.529482,754503.812402,3329232300.000000
57800,1.533157,753999.753450,3340782200.000000
57900,1.540896,751510.809295,3352352100.000000
58000,1.537407,754517.183804,3363942000.000000
58100,1.542266,753436.826073,3375551900.000000
58200,1.563443,744510.672919,3387181800.000000
58300,1.565144,744979.375700,3398831700.000000
58400,1.571119,743419.180851,3410501600.000000
58500,1.583643,738802.874133,3422191500.000000
58600,1.576843,743257.255161,3433901400.000000
58700,1.576029,744910.150765,3445631300.000000
58800,1.579476,744550.724417,3457381200.000000
58900,1.594068,738989.804701,3469151100.000000
59000,1.590481,741913.924153,3480941000.000000
59100,1.603993,736910.946619,3492750900.000000
59200,1.603700,738292.698136,3504580800.000000
59300,1.606919,738058.358884,3516430700.000000
59400,1.613177,736434.997524,3528300600.000000
59500,1.633664,728423.959884,3540190500.000000
59600,1.613213,738898.087233,3552100400.000000
59700,1.644686,725974.441322,3564030300.000000
59800,1.784017,670397.199130,3575980200.000000
59900,1.636363,732111.395821,3587950100.000000
60000,1.708461,702386.533845,3599940000.000000
60100,1.693854,709624.324174,3611949900.000000
60200,1.679887,716714.874274,3623979800.000000
60300,1.648225,731696.218659,3636029700.000000
60400,1.693726,713220.438253,3648099600.000000
60500,1.705302,709551.739223,3660189500.000000
60600,1.728851,701043.641123,3672299400.000000
60700,1.758010,690553.523586,3684429300.000000
60800,1.718947,707409.827063,3696579200.000000
60900,1.767838,688977.157409,3708749100.000000
61000,1.731046,704776.187346,3720939000.000000
61100,1.731130,705897.304073,3733148900.000000
61200,1.772785,690439.054933,3745378800.000000
61300,1.739636,704745.130591,3757628700.000000
61400,1.761000,697331.061897,3769898600.000000
61500,1.799315,683593.478629,3782188500.000000
61600,1.785689,689929.769406,3794498400.000000
61700,1.733474,711865.306316,3806828300.000000
61800,1.751680,705608.330289,3819178200.000000
61900,1.765420,701249.561011,3831548100.000000
62000,1.747442,709608.673707,3843938000.000000
62100,1.771611,701056.834711,3856347900.000000
62200,1.774100,701200.608759,3868777800.000000
62300,1.778595,700552.964559,3881227700.000000
62400,1.777887,701956.873525,3893697600.000000
62500,1.773332,704887.748036,3906187500.000000
62600,1.792134,698608.474590,3918697400.000000
62700,1.872128,669825.994804,3931227300.000000
62800,1.855502,676905.764586,3943777200.000000
62900,1.820291,691098.291427,3956347100.000000
